"Fecha","Indice_total","Total_Fertilizantes","Total_Plaguicidas","Total_Otros","Total_Simples","Total_Compuestos","Total_Herbicidas","Total_Fungicidas","Total_Insecticidas","Urea 46%","Urea sulfato","DAP 18-46","KCL 0-0-60","SAM","15-15-15","25-4-24","17-6-18-2","18-18-18","31-8-8","12-24-12","13-26-6","15-4-23","10-20-30","28-4-0-6","Glifosato","Paraquat","Propanil","2,4-D + picloram","2,4-D","Aminopiralid + 2,4-D","Diuron","Glufosinato de amonio","Picloram","Oxadiazon","Metsulfuron metil","Pendimetalin","Clorotalonil","Difenoconazol","Mancozeb","Mancozeb + cimoxanil","Azoxistrobin + difenoconazol","Dimetomorf","Tebuconazol + trifloxistrobin","Propineb + fluopicolide","Mancozeb + metalaxil-m","Clorpirifos","Fipronil","Metomil","Tiametoxam + lambdacihalotrina","Abamectina","Imidacloprid","Profenofos + cipermetrina","Cipermetrina","Profenofos","Total_Coadyuvantes","Total_Reguladores","Total_Molusquicidas"
"04/2021","110.08","115.88","101.4","101.32","117.47","114.66","101.54","101.06","101.4","125.6","119.51","123.01","104.8","109.11","114.35","117","109.59","122.24","118.87","112.66","119","107.38","107.68","113.02","102.74","100.77","102.93","101.78","100.94","102.15","99.92","99.78","99.52","100.46","97.47","95.89","100.39","100.64","101.69","102.39","100.73","101.66","99.93","101.55","101.23","103.16","100.16","101","100.84","101.4","100.86","102.55","100.94","101.72","101.28","101.3","105.94"
"03/2021","106.03","109.58","100.74","100.49","110.32","109","100.66","100.67","100.97","113.54","117.76","115.73","102.19","102.06","105.47","112.51","106.31","116.03","111.05","108.1","110.47","105.2","104.87","108.3","101.06","99.71","102.94","100.78","100.44","100.93","99.84","99.28","100.15","100.48","97.69","96.85","99.89","100.32","101.79","102.11","99.91","100.58","100.25","101.01","100.84","102.15","100","100.5","100.8","101.13","100.97","102.09","100.28","100.86","100.41","100.67","103.33"
"02/2021","101.21","101.91","100.18","100.36","102.11","101.75","100.08","100.23","100.32","102.46","100.14","104.62","102.38","99.91","101.04","101.58","100.93","102.55","102.59","101.9","101.05","101.69","101.7","105.54","100.08","99.87","100.16","99.89","100.29","100.87","100.34","99.8","99.19","100.53","100.31","100","99.79","100.36","100.86","100.54","99.61","100.35","100.07","100.35","100.71","101.07","100.2","99.97","100.24","99.73","100.32","101.12","99.35","100.47","100.43","100.12","100.38"
"01/2021","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"12/2020","99.64","99.49","99.92",,"99.81","99.23","100.11","99.62","99.77","98.56","103.43","99.79","100.23","98.78","99.35","98.08","98.79","101.14","97.07","100.32","99.19","99.21","99.82","101.5","99.74","99.63","97.41","100.22","100.71","99.84","99.68","99.75","99.19","100.86","101.1","100","99.91","100.15","99.02","99.43","99.38","98.98","99.94","99.02","100.5","99.39","99.65","99.9","99.54","100.46","100.8","99.65","99.3","100.01","0","0","0"
"11/2020","99.29","99","99.82",,"99.73","98.43","100.05","99.32","99.74","99.03","102.29","97.96","100.44","99.36","98.58","97.84","100.12","99.66","95.73","99.5","98.48","98.43","97.69","95.7","99.65","99.72","97.22","100.14","100.36","99.74","99.1","100.75","99.05","100.8","101.25","100","99.76","99.43","98.39","99.11","99.68","98.72","100.04","98.6","100.19","98.53","99.62","99.99","99.78","100.47","100.55","99.7","100.55","100.5","0","0","0"
"10/2020","98.86","98.51","99.49",,"99.16","97.99","99.81","98.9","99.3","99.04","97.1","96.86","101.48","99.84","97.96","97.87","98.54","98.99","98.24","97.81","98.1","97.31","98.14","95.1","99.55","99.65","95.53","99.8","99.66","99.81","98.41","99.86","98.54","100.71","101.85","104.44","98.48","99.1","98.82","98.52","99.43","98.36","100.1","98.44","100.07","97.76","100.12","99.41","99.39","99.83","100.22","99.65","99.47","99.3","0","0","0"
"09/2020","99.58","99.77","99.24",,"101.41","98.49","99.81","98.24","98.85","101.8","102.21","97.31","103.09","99.72","97.59","98.16","99.32","102.19","99.26","98.63","97.8","97.06","97.17","95.19","99.62","99.21","98.71","100.6","99.02","99.22","99.08","101.04","98.2","100.24","102.23","93.61","97.91","98.82","98.05","98.58","98.55","96.65","99.87","96.54","99.65","97.31","100.14","98.9","98.99","98.61","99.21","99.67","99.25","98.67","0","0","0"
"08/2020","100.15","101.16","98.31",,"102.91","99.79","98.28","98.19","98.49","102.95","102.02","98.24","106.31","101.59","98.35","100.68","99.29","105.39","99.36","100.38","98.58","98.41","98.72","95.68","100.02","98.89","98.65","100.2","98.49","99.3","98.8","102.95","98.29","102.34","101.96","94.13","98.49","98.62","99.33","97.82","98.65","94.92","100.06","94.85","99.3","96.59","99.62","98.41","99.15","98.14","99.27","99.13","100.38","97.45","0","0","0"
"07/2020","101.33","102.83","98.6",,"104.85","101.26","99.39","97.66","97.7","104.29","108.49","100.04","106.66","103.48","100.94","102.36","100.27","106.84","100.38","101.55","100.94","99.64","98.44","95.57","99.2","98.32","99.26","98.2","99.63","98.78","98.01","102.28","98.06","102.34","101.71","90.29","98.2","97.67","99.64","97.26","97.97","94.53","98.76","93.43","98.89","96.04","98.49","97.14","99.02","97.63","99.1","98.51","98.3","96.37","0","0","0"
